station,frequency
San Francisco Caltrain (Townsend at 4th),25144
Harry Bridges Plaza (Ferry Building),15536
San Francisco Caltrain 2 (330 Townsend),15132
2nd at Townsend,12935
Embarcadero at Sansome,12879
Temporary Transbay Terminal (Howard at Beale),12748
Market at Sansome,12518
Steuart at Market,11579
Townsend at 7th,11002
Market at 4th,9980
Market at 10th,9803
2nd at South Park,9448
Powell Street BART,9314
2nd at Folsom,7993
Beale at Market,7978
